City,State,Country,Occurred,Lon,Lat,Shape,Summary,Media,Explanation
Kettleman City,CA,USA,12/22/20006/29/20034/2/2018,0.0,0.0,LightTriangleTriangle,"Red/Orange glowing light near powerlines.Slow moving triangular craft travelled NW across southbound I-5... made aircraft landing 2000 ft. W and parallel to I-5Red lights in a triangle over Kettleman City, CA",0,0
Kettleman City/Coalinga (between),CA,USA,7/17/2006,0.0,0.0,Triangle,Triangular shaped crafts and blue ball of light near Kettleman City and Coalinga California,0,0
Kevil,KY,USA,3/15/2019,0.0,0.0,Circle,"((HOAX??)) A circular orange blue UFO appeared in the sky, left and then came back followed by 3 jets. ((anonymous report))",0,0
Kew Gardens,NY,USA,4/9/19924/18/2006,0.0,0.0,LightCircle,"Lights flashingAbout 12 crafts with Lights changing from yellow to red, some traveled others were more stationary",0,0
Kew gardens ny,NY,USA,2/22/2022,0.0,0.0,Other,Not a craft actual being in my apt,0,0
Kewadin,MI,USA,11/16/199911/16/1999,0.0,0.0,CircleCircle,"saw long string of lights and watched it hover atop some trees.when it turned to the left i saw that it was circular and large. i knewsaw a light, long object above some trees while driving.we stopped and got out to see what it was. we thought it was a large plane flyi",0,0
Kewanee,IL,USA,3/27/19924/28/19843/27/1992,0.0,0.0,SphereChangingSphere,"Reddish-orange sphere seen outside Kewanee, ILShape changing lights in southern sky.HBCCUFO CANADIAN REPORT: Large glowing sphere was positioned almost directly overhead.",0,0
Kewanna,IN,USA,4/15/1956,0.0,0.0,Light,2 red lights over bruss lake.,0,0
Kewaskum,WI,USA,8/19/20084/16/1932,0.0,0.0,LightFormation,"Seemingly bright star speeds away into night sky.I saw 5 orange-red lights traveling in a line from S to N at about the speed of an airplane, though completely silent.",0,0
Kewaunee,WI,USA,7/3/20004/14/20223/21/20204/16/2025,0.0,0.0,DiskOtherLightFormation,"Very calm night, saw an orange light from underneath, and on the sides of it. . It made no sound.Small, silent, brightly lit, extremely manueverable, very low-flying craft 250' behind my rural homeString of unknown objects over lake Michigan/Kewaunee WI ((Starlink satellites))Perfectly spaced string of bright lights mid sky over the bay.",0,0
Keweenaw Peninsual,MI,USA,8/1/1992,0.0,0.0,Sphere,I was camping in the Upper Pennisula of Michigan on it's East Coast on the Keweenaw Pennisula with my dad and a family friend when we s,0,0
Key Biscayne,FL,USA,8/25/20194/26/1960,0.0,0.0,LightSphere,"Stormy weather and 5 Pink lights in the sky above Miami.Observed a white, silvery sphere that held stationary, then moved east into the morning sky",0,0
Key Center,WA,USA,4/19/2011,0.0,0.0,Fireball,Bright white light breaks apart into multi-colored pieces traveling south-east over Olympia.,0,0
Key Colony Beach,FL,USA,4/26/19955/17/2020,0.0,0.0,LightLight,I saw what appeared to be lights outside that lit up and cast shadows on my front door’s window. ((NUFORC Note: Meteor?? PD))Saw 30-40 lights traveling from East to West while walking the dogs. Thought it was an airplane at first then thought it was a star. T,0,0
Key Largo,FL,USA,7/4/20064/22/20214/3/19954/19/20191/1/19966/6/20064/4/19304/15/19822/3/20204/7/19586/14/20034/2/1957,0.0,0.0,TriangleLightOtherLightTriangleFormationLightTriangleLightChevronSphereFireball,"Flew directly over my field of vision as I looked at the stars. I GOT A GOOD LOOK.Very fast moving alternating zig, zag strobe lights over Key Largo, Flmoving from south to north-east across the sky in less than 3 minutes;higher and faster than a plane.Single bright white object seen by boat captain moving west to east at low altitude/super high speed.3:30 in the morning observe a black triangular shaped craft fly directly over Key Largo Fl. aproximately one tholusand ft. up and 2000six dim points of light in circular position out in space!2 strange lights seen over Key LargoLarge bright white triangular shapes streaking across the sky coming to an abrupt stop, holding position for 10 sec. then disappearingBlinking orange ball, erratic,Large Chevron UFO flying over Key Largo FL from the SW to NE -where did the jet go7 orange orbs in key largo FL night sky moving slowly then breaking out of our atmosphere at incredible speeds.",0,0
Key Peninsula,WA,USA,8/2/2000,0.0,0.0,Light,At approximately 9:30 pm (9:30-10:00) I was standing on my porch looking South. There was a pulsing light with red strobing suspended,0,0
Key West,FL,USA,7/1/20018/28/20235/11/20209/28/20026/1/20004/12/19444/7/19474/1/19543/13/20233/11/20194/20/200510/3/19984/11/19797/29/20034/12/193711/15/19734/15/20006/27/20232/26/19476/20/202411/28/20043/27/195010/5/20017/12/2008,0.0,0.0,SphereLightDiskFireballFormationDiskCigarOtherOrbTriangleFireballChangingFireballDiskLightDiskCigarOrbSphereLightLightTeardropRectangleFireball,"Spere formation over Key WestLarge, silent green light moved very slowly NW towards Navy Base - abruptly changed course to SW and went supersonic (again, silent)5 circular crafts heading East in a staggered lineCan someone tell me what this is?fleet of v shaped objects blot out sky over key west, floridaWe where driving to key west.. I was taking pictures with my cell phone of the islands as we where driving. it was overcast.While swimming in our pool, over our heads at about 60 degrees towards north heading dead west a red and white oscillating strobe light4 horizontal lights ( white-red-white-red) traveled from horizon to horizon in 15 seconds.200ft to the left of the Edward B Knight PierTransparent triangular shape craft flew across US1 20 mins north of Key West made no sound.Fireballs (4) of low altitude moving relatively slow, equal distances apart, and all ascending into the sky towards Cuba. No audible sI WAS SITTING ON MY FRONT PORCH ON THE SOUTH SIDE OF TRUMAN AVENUE A FEW NIGHTS AFTER THE STORM, IT WAS AFTER MIDNIGHT. I STARTED TO HBig orange/yellow fireball traveling N to S over Atlantic, many lights 3 persons saw-2 took Cellpics,the zoomed in 1 had shadow faceSix adults witness a cluster of colorful, disc-shaped objects hover over Key West for approx. 15 min..Approx 10 orange lights moving slowly in East sky over Atlantic for about 4 minutes then disappearedSaucer craft with red/green alternating lights on its midsection seen within 500 yards, travelling slowly at first, then vanishesLarge black cigar shape,no lights or sound.Orbs in key westin the very early morning hours of 1962, I don't recall the date or month, at the time I was only 10 years of age, a very loud whistleiSaw unexplainable lights slightly west of North in Key WestOrange object over Key West, FloridaON OR ABOUT THE DATE LISTED ABOVE I,ALONG WITH MY FAMILY, WERE DRIVING HOME FROM THE BEACH WHEN MY WIFE ,WHO WAS LOOKING OUT THE WINDOWU.F.O HOVERS OVER CRUISE SHIP KEY WEST FLORDIA 2001 ..I was in the back yard having a cigarette when I saw a shooting star or so I thought. The object looked like a fireball coming down fr",YY,0
"Key West (out on the boat- ""Atlantic Coastal Plain""",FL,USA,12/22/2022,0.0,0.0,Teardrop,Key West miles offshore weird bright light- photos zoomed in reveal odd almost prong like shape,Y,Contrail
"Key West, Dubuque",IA,USA,4/14/1981,0.0,0.0,Orb,I was driving home from a friends waiting at a traffic light and saw a rusted orange ball move at high speeds in an irrational way.,0,0
Key largo,FL,USA,5/2/2020,0.0,0.0,Circle,Multiple star like objects moving like ants in the sky. ((Starlink satellites?)),0,0
Keyes,CA,USA,4/7/1938,0.0,0.0,Light,Double light moving north-north east,0,0
