Occurred,Lon,Lat,City,State,Country,Shape,Summary,Media,Explanation
6/21/2019,-99.7414869,40.7788486,Lexington,NE,USA,Cigar,"Location: Lexington, NE; Dawson County Date: 6/21/19 Time: ~19:30 My son noticed what he thought was a balloon in the sky west of Lexi",,
4/18/2003,-84.4970393,38.0464066,Lexington,KY,USA,Sphere,"Lexington, KY, Transparent ball shaped craft no noise and very large 10 minutes",,
8/1/1974,-84.4970393,38.0464066,Lexington,KY,USA,Disk,WE WERE CHASED BY A UFO .,,
4/1/1948,-85.6252409,38.6522821,Lexington,IN,USA,Flash,Flashes followed by white and red lights,,
4/3/1963,-82.5307956,43.2681289,Lexington,MI,USA,Circle,"During firwork show in Lexinton Michigan I noticed a orange cirlce, getting bigger then smaller again.",,
3/18/2009,-80.2533838,35.8240265,Lexington,NC,USA,Formation,7 boomerang objects viewed flying in formation that had irregular flying pattern,,
4/7/2022,-84.4970393,38.0464066,Lexington,KY,USA,Orb,Orange orbs flying at 500 feet elevation in a formation. Three in a line and a fourth trailing behind,,
4/29/2024,-84.4970393,38.0464066,Lexington,KY,USA,Circle,"4 strange unidentified lights over Lexington, KY.",,
4/21/1982,-99.7414869,40.7788486,Lexington,NE,USA,Disk,"Bright orange lit saucer going over Lexington, NE, north to south.",,
5/15/2006,-84.4970393,38.0464066,Lexington,KY,USA,Cigar,Large orange/red glowing cigar shaped object seen off Man O' War blvd.,,
6/1/2023,-84.4970393,38.0464066,Lexington,KY,USA,Light,I have verified that iss or China station not visible at time of sighting,,
10/29/2001,-81.2374167,33.9804494,Lexington,SC,USA,Circle,"Three aircraft hovering in different locations for long period of time. Alternating green, white, red lights.",,
7/14/2004,-84.4970393,38.0464066,Lexington,KY,USA,Light,"very large round object, pulsing red light, stationary within the storm with 60-70 MPH winds",,
4/7/2023,-84.4970393,38.0464066,Lexington,KY,USA,Sphere,Four orange balls flying very low with three in a line and a fourth behind moved slowly across sky with absloutely no noise.,,
4/14/1981,-84.4970393,38.0464066,Lexington,KY,USA,Fireball,Orange Fireball/Light seen in south Lexington / Fayette County travelling from south to south east.,,
4/1/2006,-80.2533838,35.8240265,Lexington,NC,USA,Flash,STATIONARY FLASHING LIGHT.,,
7/3/1997,-84.4970393,38.0464066,Lexington,KY,USA,Triangle,I saw a triangular aircraft moving slowly and noislessly East to West.,,
4/10/2001,-84.4970393,38.0464066,Lexington,KY,USA,Triangle,Triangle shaped craft over lexington ky,,
11/29/2019,-84.4970393,38.0464066,Lexington,KY,USA,Triangle,My wife and I both saw a light in the sky fly by. Very bright and moved faster than any meteor or aircraft either of us had ever seen.,,
4/4/1957,-84.4970393,38.0464066,Lexington,KY,USA,Other,Semi-length lights,,
4/13/1991,-81.2374167,33.9804494,Lexington,SC,USA,Circle,"Coming home I witnesses 7 glowing orange balls in the sky above lakemurray, lexington sc, they were huge and standing g still.",,
7/1/1993,-84.4970393,38.0464066,Lexington,KY,USA,Teardrop,"Craft in Lexington, teardrop shaped, near University of Kentucky, appearing to children.",Y,
4/12/2002,-81.2374167,33.9804494,Lexington,SC,USA,Light,Silent orange balls of light in a straight line formation moving slowly for 5 minutes then dissapeared,,
6/1/2006,-81.2374167,33.9804494,Lexington,SC,USA,Rectangle,"Spooky Near-Earth ""Space Station""",,
8/7/2022,-84.4970393,38.0464066,Lexington,KY,USA,Orb,"Stationary orb, very bright and very high altitude.",,
10/20/2019,-81.2374167,33.9804494,Lexington,SC,USA,Light,Bright blue light that fell vertically. ((anonymous report)),,
4/17/1948,-84.4970393,38.0464066,Lexington,KY,USA,Other,Streak of light across Mars.,,
4/29/2012,-84.4970393,38.0464066,Lexington,KY,USA,Oval,Bright green oval light with orange halo shoots across Lexington sky. ((anonymous report)),,
8/4/2023,-81.2374167,33.9804494,Lexington,SC,USA,Cylinder,"It looked like a weather balloon and a tic-tac had a baby. Peanut shaped, shiny… had a translucent field around it.",Y,
1/20/2019,-84.4970393,38.0464066,Lexington,KY,USA,Chevron,"Black chevron-shaped object with no lights observed over Lexington, Ky at night",,
1/29/2023,-84.4970393,38.0464066,Lexington,KY,USA,Other,Big blue light stationery a few hundred yards wide very low just above the fog barrier.,Y,
4/7/1971,-84.4970393,38.0464066,Lexington,KY,USA,Cylinder,"Flat, reflective object spotted at high speed along US 60. Enters small cloud, Does not exit.",,
4/20/1959,-81.2374167,33.9804494,Lexington,SC,USA,Sphere,I saw 3 sphere shaped fire orange colored objects in the sky.,,
1/12/2009,-84.4970393,38.0464066,Lexington,KY,USA,Other,A friend and I were driving past our local shopping center when we noticed some odd lights in the sky. We observed the lights created a,,
3/17/2009,-84.4970393,38.0464066,Lexington,KY,USA,Other,"Dark blue light moving sideways, but apparently suspended under something like a white parachute?",,
7/15/2002,-84.4970393,38.0464066,Lexington,KY,USA,Cylinder,"Plane disappears into belly of hovering craft over Man O'War Blvd. In Lexington KY, and witnesses forgot about it temporarily.",,
9/3/2009,-84.4970393,38.0464066,Lexington,KY,USA,Other,Metor zooming toward the ground then stops above the city and turns off all lights and moves in a straight line.,,
2/8/2001,-84.4970393,38.0464066,Lexington,KY,USA,Triangle,Triangular craft with bright white lights across the back and flashing red light near front tip,,
4/13/2024,-81.2374167,33.9804494,Lexington,SC,USA,Triangle,I looked up into the sky and saw two what I thought were stars.,,
