Occurred,Lon,Lat,City,State,Country,Shape,Summary,Media,Explanation
4/10/2001,-107.926454,38.9016487,Cedaredge,CO,USA,Cigar,"Bright white object traveling for aprox 3 seconds east to west in northern sky--object ""flashed/sparked"" a bright green & disappeared",,
8/12/2000,-111.841185,33.3062031,Chandler,AZ,USA,Other,Red light that remained still high above us for over 15 minutes and then dissapeared.,,
4/10/1994,-87.6357079,41.5062834,Chicago Heights,IL,USA,Cigar,"Orange glowing lights over Chicago Heights, IL",,
4/14/1985,-74.1637553,40.8584328,Clifton,NJ,USA,Fireball,"2 strange orange glowing lights in the sky over Clifton, NJ",,
9/4/2020,-104.825348,38.8339578,Colorado Springs,CO,USA,Circle,"Two craft traveling similar path stop completely and fade from sight, one after another.",,
8/29/2006,-104.825348,38.8339578,Colorado Springs,CO,USA,Oval,UFO in Colorado Springs/Manitou Springs area,,
6/28/1968,-109.890999,36.0746354,Cottonwood,AZ,USA,Circle,"It was dusk and still very warm, so my family and I went out on our porch to cool off. The porch faced west toward Mingus Mountain, we",,
10/1/2005,-81.4828123,41.1362729,Cuyahoga Falls,OH,USA,Other,"V-shaped object seen in sky of Cuyahoga Falls, Ohio",,
4/20/1986,-81.2273119,28.904843,Deltona,FL,USA,Sphere,Two round lights changed colors and moved at incredible rates of direction and speed.,,
8/26/2020,-68.4243599,44.5414596,Ellsworth,ME,USA,Circle,"Small Circular Orange in color moving up, down, left, right switching between slow and quickly actions.",,
4/1/1935,-80.0852695,42.1294712,Erie,PA,USA,Circle,orb repeat,,
8/18/2001,-71.13821,44.7811103,Errol,NH,USA,Triangle,this exact object was seen in february of 2001 in aproximately same location,,
6/1/1969,-77.1710914,38.882334,Falls Church,VA,USA,Other,round plate like structure,,
6/30/2006,-87.1834694,45.8257983,Flat Rock,MI,USA,Oval,"Oval shaped UFO with two revolving lights disappeared into woods in Flat Rock, MI.",,
7/28/2019,-71.7581249,41.8537098,Foster,RI,USA,Sphere,Foster/Scituate UFO/UAP,,
4/15/2025,-119.78483,36.7394421,Fresno,CA,USA,Orb,Slow moving pillar of orbs floating horizontally and passed by 4 people.,,
6/10/2004,-77.9927651,35.3848841,Goldsboro,NC,USA,Sphere,Silvery grey sphere was spotted over wayne county in North Carolina,,
4/16/1946,-76.3442846,37.0264414,Hampton,VA,USA,Light,Beams of light full length of the sky moving horizontal like a helicopter blade would.,,
6/20/2003,-86.754988,37.9000554,Hawesville,KY,USA,Unknown,Stick Objects,,
12/1/2004,-118.3483256,33.9188589,Hawthorne,CA,USA,Triangle,Aqua green florescent lights on leading edge of triangular craft moving at great speed downward and seemed to disapeared into a portal,,
9/2/2007,-86.1090828,42.7876022,Holland,MI,USA,Formation,I saw pink connected circle/lights crossing the sky.,,
4/19/1991,-82.0906082,35.047841,Inman,SC,USA,Cigar,Very large red laser lights flying low as big as a jet liner witnessed a mile away by friend flying 100 foot above the ground.,,
5/26/2022,-156.2153029,20.8915677,Kailua,HI,USA,Cylinder,"Driving on H1, passenger saw a light in the sky, pulled over and all three people got out and noticed a second light. 30 sec later gone",,
1/5/2001,-117.0230839,32.7678288,La Mesa,CA,USA,Circle,Bright red light in the night sky.Sometime later separate fluorescent white light falls from the sky to the ground.,,
4/25/1997,-117.785366,33.5426975,Laguna Beach,CA,USA,Fireball,Comet-like UFO's with shimmery tales over the ocean turning on and off. ((anonymous report)),,
4/21/2024,-114.3379972,34.4775296,Lake Havasu City,AZ,USA,Orb,Amber colored orb rotating in the sky.,,
9/30/2001,-105.0846694,39.7085736,Lakewood,CO,USA,Sphere,October 30th 2001. 8:00 pm I had gotten home from work and just went to get gas. I was on my way back from the gas station when I notic,,
4/11/2021,-121.768053,37.6820583,Livermore,CA,USA,Formation,"On 7/31/2012 at 10:05 p.m. in Springtown of Livermore, CA my daughter and I witnessed in the sky several large, red glowing objects mov",,
4/11/1945,-88.057837,41.5894753,Lockport,IL,USA,Circle,No noise and nothing machanical about this orange object,,
11/20/1996,-118.242766,34.0536909,Los Angeles,CA,USA,Unknown,Airline pilot reports peculiar object near Gorman VOR in California.,,
6/14/1997,-116.1619558,34.7218178,Ludlow,CA,USA,Unknown,enormous pulsing red smoke bellowing lights,,
9/13/2009,-81.4548392,39.4167742,Marietta,OH,USA,Circle,Circular space craft with large light in center and small surrounding circular lights seen hoovering near I-77,,
